,tanggal,akumulasi_aktif,akumulasi_sembuh,akumulasi_meninggal
374,2021-03-27,3264,125421,9754
375,2021-03-28,3171,125760,9773
376,2021-03-29,2585,126564,9806
377,2021-03-30,2337,127058,9839
378,2021-03-31,2329,127331,9875
379,2021-04-01,2356,127562,9899
380,2021-04-02,2376,127791,9924
381,2021-04-03,2363,128013,9945
382,2021-04-04,2367,128210,9965
383,2021-04-05,2333,128443,9995
384,2021-04-06,2387,128659,10020
385,2021-04-07,2319,129028,10065
386,2021-04-08,2371,129247,10091
387,2021-04-09,2413,129495,10110
388,2021-04-10,2437,129720,10138
389,2021-04-11,2322,130060,10161
390,2021-04-12,2286,130311,10196
391,2021-04-13,2277,130535,10229
392,2021-04-14,2236,130812,10255
393,2021-04-15,2275,131040,10282
394,2021-04-16,2231,131350,10306
395,2021-04-17,2239,131600,10333
396,2021-04-18,2236,131823,10353
397,2021-04-19,2225,132058,10383
398,2021-04-20,2233,132270,10421
399,2021-04-21,2281,132498,10449
400,2021-04-22,2311,132733,10474
401,2021-04-23,2320,132996,10502
402,2021-04-24,2259,133296,10520
403,2021-04-25,2260,133511,10540
404,2021-04-26,2219,133774,10564
405,2021-04-27,2184,134019,10591
406,2021-04-28,2197,134279,10615
407,2021-04-29,2243,134532,10641
408,2021-04-30,2273,134797,10663
409,2021-05-01,2282,134999,10683
410,2021-05-02,2251,135207,10712
411,2021-05-03,2195,135460,10732
412,2021-05-04,2203,135709,10765
413,2021-05-05,2220,135934,10793
414,2021-05-06,2198,136183,10821
415,2021-05-07,2126,136466,10843
416,2021-05-08,2123,136673,10863
417,2021-05-09,2138,136869,10882
418,2021-05-10,2110,137082,10903
419,2021-05-11,2119,137298,10936
420,2021-05-12,2120,137521,10960
421,2021-05-13,2105,137672,10972
422,2021-05-14,2056,137847,10987
423,2021-05-15,1890,138167,11016
424,2021-05-16,1873,138331,11033
425,2021-05-17,1778,138603,11058
426,2021-05-18,1754,138832,11080
427,2021-05-19,1781,139027,11112
428,2021-05-20,1777,139269,11134
429,2021-05-21,1827,139446,11150
430,2021-05-22,1848,139642,11166
431,2021-05-23,1854,139847,11183
432,2021-05-24,1855,140053,11203
433,2021-05-25,1865,140236,11227
434,2021-05-26,1974,140362,11248
435,2021-05-27,1985,140544,11273
436,2021-05-28,2005,140749,11294
437,2021-05-29,1946,141043,11314
438,2021-05-30,1986,141202,11332
439,2021-05-31,1978,141428,11363
440,2021-06-01,1970,141637,11387
441,2021-06-02,1974,141843,11416
442,2021-06-03,2000,142051,11442
443,2021-06-04,2022,142307,11467
444,2021-06-05,2058,142489,11493
445,2021-06-06,2121,142681,11514
446,2021-06-07,2198,142878,11541
447,2021-06-08,2303,143127,11576
448,2021-06-09,2456,143345,11610
449,2021-06-10,2621,143572,11644
450,2021-06-11,2766,143829,11683
451,2021-06-12,2896,144027,11713
452,2021-06-13,2987,144322,11747
453,2021-06-14,3075,144602,11782
454,2021-06-15,3289,144847,11823
455,2021-06-16,3682,145103,11875
456,2021-06-17,4005,145442,11934
457,2021-06-18,4287,145850,11975
458,2021-06-19,4590,146194,12022
459,2021-06-20,4890,146576,12077
460,2021-06-21,5184,146943,12134
461,2021-06-22,5503,147326,12178
462,2021-06-23,5892,147754,12234
463,2021-06-24,6385,148148,12291
464,2021-06-25,6793,148657,12348
465,2021-06-26,7149,149235,12404
466,2021-06-27,7478,149729,12470
467,2021-06-28,7932,150287,12537
468,2021-06-29,8273,150921,12627
469,2021-06-30,8620,151674,12731
470,2021-07-01,9239,152375,12809
471,2021-07-02,9737,153174,12898
472,2021-07-03,10343,153917,12987
473,2021-07-04,10972,154652,13092
474,2021-07-05,11303,155744,13212
475,2021-07-06,11721,157008,13338
476,2021-07-07,12891,158220,13503
477,2021-07-08,13965,159514,13686
478,2021-07-09,14584,161247,13865
479,2021-07-10,15202,162674,14057
480,2021-07-11,15878,164131,14342
481,2021-07-12,16774,165795,14519
482,2021-07-13,20709,167947,14701
483,2021-07-14,25728,169780,14939
484,2021-07-15,31753,171772,15150
485,2021-07-16,37009,173998,15500
486,2021-07-17,40940,176701,15786
487,2021-07-18,43285,179754,16117
488,2021-07-19,44488,182616,16474
489,2021-07-20,47285,185199,16746
490,2021-07-21,47755,188185,17148
